_id,date,center_name,attendance_count
37296277,2015-10-03,Ormsby Community Center,9
37296278,2015-10-03,West Penn Community Center,40
37296279,2015-10-02,Phillips Community Center,52
37296280,2015-10-02,Warrington Community Center,29
37296281,2015-10-02,Ammon Community Center,54
37296282,2015-10-02,Arlington Community Center,31
37296283,2015-10-02,Brookline Community Center,94
37296284,2015-10-02,Jefferson Community Center,25
37296285,2015-10-02,Ormsby Community Center,20
37296286,2015-10-02,West Penn Community Center,22
37296287,2015-10-01,Warrington Community Center,15
37296288,2015-10-01,Phillips Community Center,80
37296289,2015-10-01,Arlington Community Center,37
37296290,2015-10-01,Ammon Community Center,117
37296291,2015-10-01,Jefferson Community Center,35
37296292,2015-10-01,Brookline Community Center,128
37296293,2015-10-01,Ormsby Community Center,30
37296294,2015-10-01,Magee Community Center,21
37296295,2015-10-01,West Penn Community Center,67
37296296,2015-09-30,Phillips Community Center,51
37296297,2015-09-30,Warrington Community Center,32
37296298,2015-09-30,Ammon Community Center,80
37296299,2015-09-30,Arlington Community Center,40
37296300,2015-09-30,Brookline Community Center,235
37296301,2015-09-30,Jefferson Community Center,31
37296302,2015-09-30,Magee Community Center,34
37296303,2015-09-30,Ormsby Community Center,21
37296304,2015-09-30,West Penn Community Center,116
37296305,2015-09-29,Warrington Community Center,28
37296306,2015-09-29,Phillips Community Center,50
37296307,2015-09-29,Arlington Community Center,41
37296308,2015-09-29,Ammon Community Center,168
37296309,2015-09-29,Jefferson Community Center,19
37296310,2015-09-29,Brookline Community Center,66
37296311,2015-09-29,Ormsby Community Center,30
37296312,2015-09-29,Magee Community Center,47
37296313,2015-09-29,West Penn Community Center,44
37296314,2015-09-28,Phillips Community Center,117
37296315,2015-09-28,Warrington Community Center,32
37296316,2015-09-28,Ammon Community Center,137
37296317,2015-09-28,Arlington Community Center,11
37296318,2015-09-28,Brookline Community Center,76
37296319,2015-09-28,Jefferson Community Center,19
37296320,2015-09-28,Magee Community Center,10
37296321,2015-09-28,Ormsby Community Center,32
37296322,2015-09-28,West Penn Community Center,46
37296323,2015-09-26,Phillips Community Center,25
37296324,2015-09-26,Ammon Community Center,57
37296325,2015-09-26,Brookline Community Center,63
37296326,2015-09-26,Ormsby Community Center,9
37296327,2015-09-26,Magee Community Center,56
37296328,2015-09-25,Phillips Community Center,55
37296329,2015-09-25,Warrington Community Center,22
37296330,2015-09-25,Ammon Community Center,70
37296331,2015-09-25,Brookline Community Center,19
37296332,2015-09-25,Jefferson Community Center,5
37296333,2015-09-25,Magee Community Center,38
37296334,2015-09-25,Ormsby Community Center,33
37296335,2015-09-25,West Penn Community Center,25
37296336,2015-09-24,Warrington Community Center,15
37296337,2015-09-24,Phillips Community Center,98
37296338,2015-09-24,Ammon Community Center,136
37296339,2015-09-24,Arlington Community Center,18
37296340,2015-09-24,Jefferson Community Center,12
37296341,2015-09-24,Brookline Community Center,113
37296342,2015-09-24,Ormsby Community Center,48
37296343,2015-09-24,Magee Community Center,10
37296344,2015-09-24,West Penn Community Center,90
37296345,2015-09-23,Phillips Community Center,70
37296346,2015-09-23,Warrington Community Center,26
37296347,2015-09-23,Arlington Community Center,16
37296348,2015-09-23,Ammon Community Center,60
37296349,2015-09-23,Brookline Community Center,144
37296350,2015-09-23,Jefferson Community Center,34
37296351,2015-09-23,Magee Community Center,35
37296352,2015-09-23,Ormsby Community Center,40
37296353,2015-09-23,Paulson Community Center,19
37296354,2015-09-23,West Penn Community Center,64
37296355,2015-09-22,Warrington Community Center,23
37296356,2015-09-22,Phillips Community Center,73
37296357,2015-09-22,Ammon Community Center,158
37296358,2015-09-22,Arlington Community Center,40
37296359,2015-09-22,Jefferson Community Center,27
37296360,2015-09-22,Brookline Community Center,100
37296361,2015-09-22,Ormsby Community Center,37
37296362,2015-09-22,Magee Community Center,29
37296363,2015-09-22,Paulson Community Center,1
37296364,2015-09-22,West Penn Community Center,29
37296365,2015-09-21,Phillips Community Center,109
37296366,2015-09-21,Warrington Community Center,19
37296367,2015-09-21,Arlington Community Center,29
37296368,2015-09-21,Ammon Community Center,207
37296369,2015-09-21,Brookline Community Center,127
37296370,2015-09-21,Jefferson Community Center,12
37296371,2015-09-21,Magee Community Center,21
37296372,2015-09-21,Ormsby Community Center,30
37296373,2015-09-21,West Penn Community Center,49
37296374,2015-09-19,Phillips Community Center,27
37296375,2015-09-19,Brookline Community Center,171
37296376,2015-09-19,Ormsby Community Center,19
37296377,2015-09-19,Magee Community Center,42
37296378,2015-09-18,Phillips Community Center,88
37296379,2015-09-18,Warrington Community Center,18
37296380,2015-09-18,Ammon Community Center,61
37296381,2015-09-18,Arlington Community Center,25
37296382,2015-09-18,Brookline Community Center,96
37296383,2015-09-18,Jefferson Community Center,17
37296384,2015-09-18,Magee Community Center,23
37296385,2015-09-18,Ormsby Community Center,13
37296386,2015-09-18,West Penn Community Center,38
37296387,2015-09-17,Warrington Community Center,18
37296388,2015-09-17,Phillips Community Center,59
37296389,2015-09-17,Arlington Community Center,32
37296390,2015-09-17,Ammon Community Center,102
37296391,2015-09-17,Jefferson Community Center,24
37296392,2015-09-17,Brookline Community Center,130
37296393,2015-09-17,Ormsby Community Center,38
37296394,2015-09-17,Magee Community Center,61
37296395,2015-09-17,West Penn Community Center,43
37296396,2015-09-16,Phillips Community Center,38
37296397,2015-09-16,Warrington Community Center,14
37296398,2015-09-16,Ammon Community Center,77
37296399,2015-09-16,Arlington Community Center,26
37296400,2015-09-16,Brookline Community Center,135
37296401,2015-09-16,Jefferson Community Center,26
37296402,2015-09-16,Magee Community Center,9
37296403,2015-09-16,Ormsby Community Center,19
37296404,2015-09-16,West Penn Community Center,27
37296405,2015-09-15,Warrington Community Center,17
37296406,2015-09-15,Phillips Community Center,64
37296407,2015-09-15,Arlington Community Center,28
37296408,2015-09-15,Ammon Community Center,151
37296409,2015-09-15,Jefferson Community Center,16
37296410,2015-09-15,Brookline Community Center,139
37296411,2015-09-15,Ormsby Community Center,23
37296412,2015-09-15,Magee Community Center,12
37296413,2015-09-15,West Penn Community Center,82
37296414,2015-09-14,Phillips Community Center,95
37296415,2015-09-14,Warrington Community Center,18
37296416,2015-09-14,Ammon Community Center,86
37296417,2015-09-14,Arlington Community Center,25
37296418,2015-09-14,Brookline Community Center,158
37296419,2015-09-14,Jefferson Community Center,26
37296420,2015-09-14,Magee Community Center,27
37296421,2015-09-14,Ormsby Community Center,39
37296422,2015-09-14,Paulson Community Center,2
37296423,2015-09-14,West Penn Community Center,56
37296424,2015-09-12,Phillips Community Center,26
37296425,2015-09-12,Jefferson Community Center,1
37296426,2015-09-12,Brookline Community Center,74
37296427,2015-09-12,Ormsby Community Center,64
37296428,2015-09-12,Magee Community Center,43
37296429,2015-09-11,Phillips Community Center,77
37296430,2015-09-11,Warrington Community Center,21
37296431,2015-09-11,Ammon Community Center,44
37296432,2015-09-11,Brookline Community Center,81
37296433,2015-09-11,Jefferson Community Center,5
37296434,2015-09-11,Magee Community Center,41
37296435,2015-09-11,Ormsby Community Center,10
37296436,2015-09-11,Paulson Community Center,2
37296437,2015-09-11,West Penn Community Center,34
37296438,2015-09-10,Warrington Community Center,27
37296439,2015-09-10,Phillips Community Center,72
37296440,2015-09-10,Ammon Community Center,103
37296441,2015-09-10,Jefferson Community Center,7
37296442,2015-09-10,Brookline Community Center,85
37296443,2015-09-10,Ormsby Community Center,33
37296444,2015-09-10,Magee Community Center,18
37296445,2015-09-10,West Penn Community Center,35
37296446,2015-09-09,Phillips Community Center,1
37296447,2015-09-09,Warrington Community Center,24
37296448,2015-09-09,Ammon Community Center,89
37296449,2015-09-09,Brookline Community Center,164
37296450,2015-09-09,Jefferson Community Center,20
37296451,2015-09-09,Magee Community Center,14
37296452,2015-09-09,Ormsby Community Center,34
37296453,2015-09-09,Paulson Community Center,54
37296454,2015-09-09,West Penn Community Center,46
37296455,2015-09-08,Warrington Community Center,20
37296456,2015-09-08,Phillips Community Center,55
37296457,2015-09-08,Ammon Community Center,113
37296458,2015-09-08,Arlington Community Center,29
37296459,2015-09-08,Jefferson Community Center,19
37296460,2015-09-08,Brookline Community Center,93
37296461,2015-09-08,Ormsby Community Center,36
37296462,2015-09-08,Magee Community Center,34
37296463,2015-09-08,Paulson Community Center,4
37296464,2015-09-08,West Penn Community Center,52
37296465,2015-09-05,Phillips Community Center,11
37296466,2015-09-05,Brookline Community Center,76
37296467,2015-09-05,Magee Community Center,26
37296468,2015-09-05,Ormsby Community Center,7
37296469,2015-09-05,West Penn Community Center,25
37296470,2015-09-04,Phillips Community Center,44
37296471,2015-09-04,Warrington Community Center,26
37296472,2015-09-04,Arlington Community Center,16
37296473,2015-09-04,Ammon Community Center,66
37296474,2015-09-04,Brookline Community Center,172
37296475,2015-09-04,Jefferson Community Center,15
37296476,2015-09-04,Ormsby Community Center,17
37296477,2015-09-04,Magee Community Center,46
37296478,2015-09-04,West Penn Community Center,51
37296479,2015-09-03,Warrington Community Center,32
37296480,2015-09-03,Phillips Community Center,55
37296481,2015-09-03,Ammon Community Center,73
37296482,2015-09-03,Arlington Community Center,29
37296483,2015-09-03,Jefferson Community Center,20
37296484,2015-09-03,Brookline Community Center,157
37296485,2015-09-03,Magee Community Center,32
37296486,2015-09-03,Ormsby Community Center,23
37296487,2015-09-03,West Penn Community Center,31
37296488,2015-09-02,Phillips Community Center,74
37296489,2015-09-02,Warrington Community Center,29
37296490,2015-09-02,Arlington Community Center,23
37296491,2015-09-02,Ammon Community Center,88
37296492,2015-09-02,Brookline Community Center,164
37296493,2015-09-02,Jefferson Community Center,30
37296494,2015-09-02,Ormsby Community Center,17
37296495,2015-09-02,Magee Community Center,34
37296496,2015-09-02,West Penn Community Center,33
37296497,2015-09-01,Warrington Community Center,40
37296498,2015-09-01,Phillips Community Center,69
37296499,2015-09-01,Ammon Community Center,81
37296500,2015-09-01,Arlington Community Center,28
37296501,2015-09-01,Jefferson Community Center,16
37296502,2015-09-01,Brookline Community Center,139
37296503,2015-09-01,Magee Community Center,26
37296504,2015-09-01,Ormsby Community Center,18
37296505,2015-09-01,West Penn Community Center,67
37296506,2015-08-31,Phillips Community Center,110
37296507,2015-08-31,Warrington Community Center,35
37296508,2015-08-31,Ammon Community Center,102
37296509,2015-08-31,Brookline Community Center,144
37296510,2015-08-31,Jefferson Community Center,36
37296511,2015-08-31,Ormsby Community Center,24
37296512,2015-08-31,Magee Community Center,33
37296513,2015-08-31,West Penn Community Center,52
37296514,2015-08-29,Phillips Community Center,33
37296515,2015-08-29,Arlington Community Center,5
37296516,2015-08-29,Brookline Community Center,23
37296517,2015-08-29,Magee Community Center,17
37296518,2015-08-29,West Penn Community Center,29
37296519,2015-08-28,Phillips Community Center,531
37296520,2015-08-28,Warrington Community Center,8
37296521,2015-08-28,Arlington Community Center,14
37296522,2015-08-28,Ammon Community Center,26
37296523,2015-08-28,Brookline Community Center,285
37296524,2015-08-28,Jefferson Community Center,29
37296525,2015-08-28,Magee Community Center,3
37296526,2015-08-28,Ormsby Community Center,16
37296527,2015-08-28,West Penn Community Center,23
37296528,2015-08-27,Warrington Community Center,22
37296529,2015-08-27,Phillips Community Center,51
37296530,2015-08-27,Ammon Community Center,36
37296531,2015-08-27,Arlington Community Center,37
37296532,2015-08-27,Jefferson Community Center,24
37296533,2015-08-27,Brookline Community Center,111
37296534,2015-08-27,Ormsby Community Center,24
37296535,2015-08-27,Magee Community Center,1
37296536,2015-08-27,West Penn Community Center,24
37296537,2015-08-26,Phillips Community Center,92
37296538,2015-08-26,Warrington Community Center,32
37296539,2015-08-26,Arlington Community Center,30
37296540,2015-08-26,Ammon Community Center,34
37296541,2015-08-26,Brookline Community Center,119
37296542,2015-08-26,Jefferson Community Center,19
37296543,2015-08-26,Magee Community Center,14
37296544,2015-08-26,Ormsby Community Center,29
37296545,2015-08-26,West Penn Community Center,22
37296546,2015-08-25,Warrington Community Center,22
37296547,2015-08-25,Phillips Community Center,81
37296548,2015-08-25,Ammon Community Center,32
37296549,2015-08-25,Arlington Community Center,81
37296550,2015-08-25,Jefferson Community Center,29
37296551,2015-08-25,Brookline Community Center,136
37296552,2015-08-25,Ormsby Community Center,9
37296553,2015-08-25,Magee Community Center,23
37296554,2015-08-25,West Penn Community Center,22
37296555,2015-08-24,Phillips Community Center,82
37296556,2015-08-24,Warrington Community Center,31
37296557,2015-08-24,Arlington Community Center,85
37296558,2015-08-24,Ammon Community Center,78
37296559,2015-08-24,Brookline Community Center,95
37296560,2015-08-24,Jefferson Community Center,38
37296561,2015-08-24,Magee Community Center,15
37296562,2015-08-24,Ormsby Community Center,32
37296563,2015-08-24,West Penn Community Center,43
37296564,2015-08-22,Warrington Community Center,4
37296565,2015-08-22,Phillips Community Center,298
37296566,2015-08-22,Brookline Community Center,17
37296567,2015-08-22,Magee Community Center,2
37296568,2015-08-22,West Penn Community Center,18
37296569,2015-08-21,Phillips Community Center,72
37296570,2015-08-21,Warrington Community Center,15
37296571,2015-08-21,Ammon Community Center,33
37296572,2015-08-21,Arlington Community Center,24
37296573,2015-08-21,Brookline Community Center,98
37296574,2015-08-21,Jefferson Community Center,19
37296575,2015-08-21,Magee Community Center,10
37296576,2015-08-21,Ormsby Community Center,22
37296577,2015-08-21,West Penn Community Center,42
37296578,2015-08-20,Warrington Community Center,24
37296579,2015-08-20,Phillips Community Center,72
37296580,2015-08-20,Arlington Community Center,18
37296581,2015-08-20,Ammon Community Center,45
37296582,2015-08-20,Jefferson Community Center,23
37296583,2015-08-20,Brookline Community Center,184
37296584,2015-08-20,Ormsby Community Center,24
37296585,2015-08-20,Magee Community Center,20
37296586,2015-08-20,West Penn Community Center,33
37296587,2015-08-19,Phillips Community Center,96
37296588,2015-08-19,Warrington Community Center,34
37296589,2015-08-19,Ammon Community Center,41
37296590,2015-08-19,Arlington Community Center,46
37296591,2015-08-19,Brookline Community Center,167
37296592,2015-08-19,Jefferson Community Center,40
37296593,2015-08-19,Magee Community Center,11
37296594,2015-08-19,Ormsby Community Center,21
37296595,2015-08-19,West Penn Community Center,29
37296596,2015-08-18,Warrington Community Center,44
37296597,2015-08-18,Phillips Community Center,100
37296598,2015-08-18,Arlington Community Center,24
37296599,2015-08-18,Ammon Community Center,101
37296600,2015-08-18,Jefferson Community Center,25
37296601,2015-08-18,Brookline Community Center,94
37296602,2015-08-18,Ormsby Community Center,31
37296603,2015-08-18,Magee Community Center,96
37296604,2015-08-18,West Penn Community Center,36
37296605,2015-08-17,Phillips Community Center,91
37296606,2015-08-17,Warrington Community Center,18
37296607,2015-08-17,Ammon Community Center,66
37296608,2015-08-17,Arlington Community Center,33
37296609,2015-08-17,Brookline Community Center,195
37296610,2015-08-17,Jefferson Community Center,27
37296611,2015-08-17,Magee Community Center,21
37296612,2015-08-17,Ormsby Community Center,39
37296613,2015-08-17,West Penn Community Center,46
37296614,2015-08-15,Phillips Community Center,51
37296615,2015-08-15,Brookline Community Center,21
37296616,2015-08-15,Ormsby Community Center,11
37296617,2015-08-15,Magee Community Center,35
37296618,2015-08-15,West Penn Community Center,17
37296619,2015-08-14,Phillips Community Center,106
37296620,2015-08-14,Warrington Community Center,30
37296621,2015-08-14,Arlington Community Center,21
37296622,2015-08-14,Ammon Community Center,74
37296623,2015-08-14,Brookline Community Center,118
37296624,2015-08-14,Jefferson Community Center,50
37296625,2015-08-14,Magee Community Center,11
37296626,2015-08-14,Ormsby Community Center,14
37296627,2015-08-14,West Penn Community Center,33
37296628,2015-08-13,Warrington Community Center,5
37296629,2015-08-13,Phillips Community Center,124
37296630,2015-08-13,Ammon Community Center,95
37296631,2015-08-13,Arlington Community Center,59
37296632,2015-08-13,Jefferson Community Center,11
37296633,2015-08-13,Brookline Community Center,219
37296634,2015-08-13,Ormsby Community Center,23
37296635,2015-08-13,Magee Community Center,21
37296636,2015-08-13,West Penn Community Center,36
37296637,2015-08-12,Phillips Community Center,121
37296638,2015-08-12,Arlington Community Center,67
37296639,2015-08-12,Ammon Community Center,73
37296640,2015-08-12,Brookline Community Center,143
37296641,2015-08-12,Jefferson Community Center,53
37296642,2015-08-12,Magee Community Center,35
37296643,2015-08-12,Ormsby Community Center,47
37296644,2015-08-12,West Penn Community Center,92
37296645,2015-08-11,Phillips Community Center,146
37296646,2015-08-11,Ammon Community Center,121
37296647,2015-08-11,Arlington Community Center,100
37296648,2015-08-11,Jefferson Community Center,29
37296649,2015-08-11,Brookline Community Center,150
37296650,2015-08-11,Ormsby Community Center,44
37296651,2015-08-11,Magee Community Center,48
37296652,2015-08-11,West Penn Community Center,49
37296653,2015-08-10,Phillips Community Center,117
37296654,2015-08-10,Arlington Community Center,98
37296655,2015-08-10,Ammon Community Center,67
37296656,2015-08-10,Brookline Community Center,210
37296657,2015-08-10,Jefferson Community Center,24
37296658,2015-08-10,Magee Community Center,17
37296659,2015-08-10,Ormsby Community Center,35
37296660,2015-08-10,West Penn Community Center,54
37296661,2015-08-08,Phillips Community Center,27
37296662,2015-08-08,Warrington Community Center,4
37296663,2015-08-08,Brookline Community Center,3
37296664,2015-08-08,Ormsby Community Center,10
37296665,2015-08-08,West Penn Community Center,23
37296666,2015-08-07,Warrington Community Center,37
37296667,2015-08-07,Phillips Community Center,87
37296668,2015-08-07,Ammon Community Center,63
37296669,2015-08-07,Arlington Community Center,34
37296670,2015-08-07,Brookline Community Center,153
37296671,2015-08-07,Jefferson Community Center,55
37296672,2015-08-07,Ormsby Community Center,34
37296673,2015-08-07,Magee Community Center,75
37296674,2015-08-07,West Penn Community Center,35
37296675,2015-08-06,Warrington Community Center,81
37296676,2015-08-06,Arlington Community Center,56
37296677,2015-08-06,Ammon Community Center,92
37296678,2015-08-06,Jefferson Community Center,57
37296679,2015-08-06,Brookline Community Center,186
37296680,2015-08-06,Magee Community Center,11
37296681,2015-08-06,Ormsby Community Center,36
37296682,2015-08-06,West Penn Community Center,34
37296683,2015-08-05,Warrington Community Center,111
37296684,2015-08-05,Ammon Community Center,63
37296685,2015-08-05,Arlington Community Center,72
37296686,2015-08-05,Brookline Community Center,139
37296687,2015-08-05,Jefferson Community Center,69
37296688,2015-08-05,Ormsby Community Center,42
37296689,2015-08-05,Magee Community Center,30
37296690,2015-08-05,West Penn Community Center,43
37296691,2015-08-04,Warrington Community Center,103
37296692,2015-08-04,Arlington Community Center,49
37296693,2015-08-04,Ammon Community Center,132
37296694,2015-08-04,Jefferson Community Center,97
37296695,2015-08-04,Brookline Community Center,220
37296696,2015-08-04,Magee Community Center,41
37296697,2015-08-04,Ormsby Community Center,34
37296698,2015-08-04,West Penn Community Center,38
37296699,2015-08-03,Warrington Community Center,115
37296700,2015-08-03,Phillips Community Center,112
37296701,2015-08-03,Ammon Community Center,84
37296702,2015-08-03,Arlington Community Center,52
37296703,2015-08-03,Brookline Community Center,130
37296704,2015-08-03,Jefferson Community Center,37
37296705,2015-08-03,Ormsby Community Center,38
37296706,2015-08-03,Magee Community Center,12
37296707,2015-08-03,West Penn Community Center,53
37296708,2015-08-01,Phillips Community Center,66
37296709,2015-08-01,Brookline Community Center,31
37296710,2015-08-01,Magee Community Center,28
37296711,2015-08-01,Ormsby Community Center,18
37296712,2015-08-01,West Penn Community Center,16
37296713,2015-07-31,Phillips Community Center,146
37296714,2015-07-31,Warrington Community Center,84
37296715,2015-07-31,Arlington Community Center,31
37296716,2015-07-31,Ammon Community Center,63
37296717,2015-07-31,Brookline Community Center,138
37296718,2015-07-31,Jefferson Community Center,41
37296719,2015-07-31,Ormsby Community Center,41
37296720,2015-07-31,Magee Community Center,46
37296721,2015-07-31,West Penn Community Center,33
37296722,2015-07-30,Warrington Community Center,138
37296723,2015-07-30,Phillips Community Center,151
37296724,2015-07-30,Ammon Community Center,157
37296725,2015-07-30,Arlington Community Center,59
37296726,2015-07-30,Jefferson Community Center,48
37296727,2015-07-30,Brookline Community Center,352
37296728,2015-07-30,Magee Community Center,40
37296729,2015-07-30,Ormsby Community Center,58
37296730,2015-07-30,West Penn Community Center,26
37296731,2015-07-29,Phillips Community Center,199
37296732,2015-07-29,Warrington Community Center,121
37296733,2015-07-29,Arlington Community Center,33
37296734,2015-07-29,Ammon Community Center,135
37296735,2015-07-29,Brookline Community Center,145
37296736,2015-07-29,Jefferson Community Center,28
37296737,2015-07-29,Ormsby Community Center,65
37296738,2015-07-29,Magee Community Center,54
37296739,2015-07-29,West Penn Community Center,31
37296740,2015-07-28,Warrington Community Center,109
37296741,2015-07-28,Phillips Community Center,101
37296742,2015-07-28,Ammon Community Center,130
37296743,2015-07-28,Arlington Community Center,26
37296744,2015-07-28,Jefferson Community Center,46
37296745,2015-07-28,Brookline Community Center,232
37296746,2015-07-28,Magee Community Center,12
37296747,2015-07-28,Ormsby Community Center,73
37296748,2015-07-28,West Penn Community Center,33
37296749,2015-07-27,Phillips Community Center,206
37296750,2015-07-27,Warrington Community Center,120
37296751,2015-07-27,Arlington Community Center,24
37296752,2015-07-27,Ammon Community Center,163
37296753,2015-07-27,Brookline Community Center,347
37296754,2015-07-27,Jefferson Community Center,51
37296755,2015-07-27,Ormsby Community Center,70
37296756,2015-07-27,Magee Community Center,47
37296757,2015-07-27,West Penn Community Center,99
37296758,2015-07-25,Phillips Community Center,52
37296759,2015-07-25,Ammon Community Center,154
37296760,2015-07-25,Brookline Community Center,39
37296761,2015-07-25,Magee Community Center,22
37296762,2015-07-25,Ormsby Community Center,7
37296763,2015-07-25,West Penn Community Center,16
37296764,2015-07-24,Phillips Community Center,118
37296765,2015-07-24,Warrington Community Center,106
37296766,2015-07-24,Ammon Community Center,129
37296767,2015-07-24,Arlington Community Center,56
37296768,2015-07-24,Brookline Community Center,157
37296769,2015-07-24,Jefferson Community Center,46
37296770,2015-07-24,Ormsby Community Center,57
37296771,2015-07-24,Magee Community Center,51
37296772,2015-07-24,West Penn Community Center,46
37296773,2015-07-23,Warrington Community Center,123
37296774,2015-07-23,Phillips Community Center,180
37296775,2015-07-23,Arlington Community Center,112
37296776,2015-07-23,Ammon Community Center,105
37296777,2015-07-23,Jefferson Community Center,72
37296778,2015-07-23,Brookline Community Center,193
37296779,2015-07-23,Magee Community Center,44
37296780,2015-07-23,Ormsby Community Center,50
37296781,2015-07-23,West Penn Community Center,47
37296782,2015-07-22,Phillips Community Center,147
37296783,2015-07-22,Warrington Community Center,123
37296784,2015-07-22,Ammon Community Center,190
37296785,2015-07-22,Arlington Community Center,49
37296786,2015-07-22,Brookline Community Center,144
37296787,2015-07-22,Jefferson Community Center,57
37296788,2015-07-22,Ormsby Community Center,68
37296789,2015-07-22,Magee Community Center,43
37296790,2015-07-22,West Penn Community Center,70
37296791,2015-07-21,Warrington Community Center,120
37296792,2015-07-21,Phillips Community Center,156
37296793,2015-07-21,Arlington Community Center,118
37296794,2015-07-21,Ammon Community Center,102
37296795,2015-07-21,Jefferson Community Center,60
37296796,2015-07-21,Brookline Community Center,193
37296797,2015-07-21,Magee Community Center,101
37296798,2015-07-21,Ormsby Community Center,66
37296799,2015-07-21,Paulson Community Center,32
37296800,2015-07-21,West Penn Community Center,36
37296801,2015-07-20,Phillips Community Center,173
37296802,2015-07-20,Warrington Community Center,115
37296803,2015-07-20,Ammon Community Center,243
37296804,2015-07-20,Arlington Community Center,43
37296805,2015-07-20,Brookline Community Center,174
37296806,2015-07-20,Jefferson Community Center,73
37296807,2015-07-20,Ormsby Community Center,82
37296808,2015-07-20,Magee Community Center,74
37296809,2015-07-20,Paulson Community Center,85
37296810,2015-07-20,West Penn Community Center,40
37296811,2015-07-18,Phillips Community Center,56
37296812,2015-07-18,Ammon Community Center,75
37296813,2015-07-18,Brookline Community Center,18
37296814,2015-07-18,Ormsby Community Center,19
37296815,2015-07-18,West Penn Community Center,22
37296816,2015-07-17,Phillips Community Center,110
37296817,2015-07-17,Warrington Community Center,91
37296818,2015-07-17,Ammon Community Center,153
37296819,2015-07-17,Arlington Community Center,56
37296820,2015-07-17,Brookline Community Center,105
37296821,2015-07-17,Ormsby Community Center,66
37296822,2015-07-17,Magee Community Center,41
37296823,2015-07-17,Paulson Community Center,32
37296824,2015-07-17,West Penn Community Center,37
37296825,2015-07-16,Warrington Community Center,231
37296826,2015-07-16,Phillips Community Center,129
37296827,2015-07-16,Ammon Community Center,179
37296828,2015-07-16,Brookline Community Center,331
37296829,2015-07-16,Magee Community Center,48
37296830,2015-07-16,Ormsby Community Center,74
37296831,2015-07-16,West Penn Community Center,35
37296832,2015-07-15,Phillips Community Center,135
37296833,2015-07-15,Warrington Community Center,122
37296834,2015-07-15,Ammon Community Center,123
37296835,2015-07-15,Brookline Community Center,117
37296836,2015-07-15,Ormsby Community Center,49
37296837,2015-07-15,Magee Community Center,46
37296838,2015-07-15,West Penn Community Center,34
37296839,2015-07-14,Warrington Community Center,244
37296840,2015-07-14,Phillips Community Center,167
37296841,2015-07-14,Ammon Community Center,152
37296842,2015-07-14,Brookline Community Center,220
37296843,2015-07-14,Jefferson Community Center,4
37296844,2015-07-14,Magee Community Center,54
37296845,2015-07-14,Ormsby Community Center,79
37296846,2015-07-14,West Penn Community Center,47
37296847,2015-07-13,Phillips Community Center,164
37296848,2015-07-13,Warrington Community Center,131
37296849,2015-07-13,Ammon Community Center,193
37296850,2015-07-13,Jefferson Community Center,59
37296851,2015-07-13,Brookline Community Center,96
37296852,2015-07-13,Ormsby Community Center,81
37296853,2015-07-13,Magee Community Center,62
37296854,2015-07-13,West Penn Community Center,36
37296855,2015-07-12,Ammon Community Center,2
37296856,2015-07-11,Phillips Community Center,90
37296857,2015-07-11,Ammon Community Center,80
37296858,2015-07-11,Brookline Community Center,131
37296859,2015-07-11,Ormsby Community Center,10
37296860,2015-07-11,West Penn Community Center,25
37296861,2015-07-10,Phillips Community Center,107
37296862,2015-07-10,Warrington Community Center,135
37296863,2015-07-10,Ammon Community Center,103
37296864,2015-07-10,Arlington Community Center,36
37296865,2015-07-10,Brookline Community Center,108
37296866,2015-07-10,Jefferson Community Center,74
37296867,2015-07-10,Ormsby Community Center,40
37296868,2015-07-10,Paulson Community Center,35
37296869,2015-07-10,West Penn Community Center,38
37296870,2015-07-09,Warrington Community Center,149
37296871,2015-07-09,Phillips Community Center,118
37296872,2015-07-09,Arlington Community Center,92
37296873,2015-07-09,Jefferson Community Center,51
37296874,2015-07-09,Brookline Community Center,198
37296875,2015-07-09,Ormsby Community Center,61
37296876,2015-07-09,Paulson Community Center,38
37296877,2015-07-09,West Penn Community Center,49
37296878,2015-07-08,Phillips Community Center,159
37296879,2015-07-08,Warrington Community Center,164
37296880,2015-07-08,Arlington Community Center,55
37296881,2015-07-08,Brookline Community Center,135
37296882,2015-07-08,Jefferson Community Center,74
37296883,2015-07-08,Ormsby Community Center,69
37296884,2015-07-08,Magee Community Center,30
37296885,2015-07-08,West Penn Community Center,40
37296886,2015-07-07,Warrington Community Center,144
37296887,2015-07-07,Phillips Community Center,150
37296888,2015-07-07,Arlington Community Center,87
37296889,2015-07-07,Ammon Community Center,169
37296890,2015-07-07,Jefferson Community Center,92
37296891,2015-07-07,Brookline Community Center,183
37296892,2015-07-07,Magee Community Center,55
37296893,2015-07-07,Ormsby Community Center,85
37296894,2015-07-07,Paulson Community Center,29
37296895,2015-07-07,West Penn Community Center,45
37296896,2015-07-06,Phillips Community Center,122
37296897,2015-07-06,Warrington Community Center,110
37296898,2015-07-06,Ammon Community Center,217
37296899,2015-07-06,Arlington Community Center,85
37296900,2015-07-06,Brookline Community Center,242
37296901,2015-07-06,Jefferson Community Center,70
37296902,2015-07-06,Ormsby Community Center,65
37296903,2015-07-06,Magee Community Center,57
37296904,2015-07-06,Paulson Community Center,91
37296905,2015-07-06,West Penn Community Center,36
37296906,2015-07-02,Warrington Community Center,68
37296907,2015-07-02,Phillips Community Center,96
37296908,2015-07-02,Arlington Community Center,68
